"FullDate","DayOfYr","Month","Day","Quarter","Years"
"2014-01-01 05:00:00","2014-01-01","1","1","1","2014"
"2014-01-01 06:00:00","2014-01-01","1","1","1","2014"
"2014-01-01 07:00:00","2014-01-01","1","1","1","2014"
"2014-01-01 08:00:00","2014-01-01","1","1","1","2014"
"2014-01-01 09:00:00","2014-01-01","1","1","1","2014"
"2014-01-01 10:00:00","2014-01-01","1","1","1","2014"
"2014-01-01 11:00:00","2014-01-01","1","1","1","2014"
"2014-01-01 12:00:00","2014-01-01","1","1","1","2014"
"2014-01-01 13:00:00","2014-01-01","1","1","1","2014"
"2014-01-02 05:00:00","2014-01-02","1","2","1","2014"
"2014-01-02 06:00:00","2014-01-02","1","2","1","2014"
"2014-01-02 07:00:00","2014-01-02","1","2","1","2014"
"2014-01-02 08:00:00","2014-01-02","1","2","1","2014"
"2014-01-02 09:00:00","2014-01-02","1","2","1","2014"
"2014-01-02 10:00:00","2014-01-02","1","2","1","2014"
"2014-01-02 11:00:00","2014-01-02","1","2","1","2014"
"2014-01-02 12:00:00","2014-01-02","1","2","1","2014"
"2014-01-02 13:00:00","2014-01-02","1","2","1","2014"
"2014-01-03 05:00:00","2014-01-03","1","3","1","2014"
"2014-01-03 06:00:00","2014-01-03","1","3","1","2014"
"2014-01-03 07:00:00","2014-01-03","1","3","1","2014"
"2014-01-03 08:00:00","2014-01-03","1","3","1","2014"
"2014-01-03 09:00:00","2014-01-03","1","3","1","2014"
"2014-01-03 10:00:00","2014-01-03","1","3","1","2014"
"2014-01-03 11:00:00","2014-01-03","1","3","1","2014"
"2014-01-03 12:00:00","2014-01-03","1","3","1","2014"
"2014-01-03 13:00:00","2014-01-03","1","3","1","2014"
"2014-01-04 05:00:00","2014-01-04","1","4","1","2014"
"2014-01-04 06:00:00","2014-01-04","1","4","1","2014"
"2014-01-04 07:00:00","2014-01-04","1","4","1","2014"
"2014-01-04 08:00:00","2014-01-04","1","4","1","2014"
"2014-01-04 09:00:00","2014-01-04","1","4","1","2014"
"2014-01-04 10:00:00","2014-01-04","1","4","1","2014"
"2014-01-04 11:00:00","2014-01-04","1","4","1","2014"
"2014-01-04 12:00:00","2014-01-04","1","4","1","2014"
"2014-01-04 13:00:00","2014-01-04","1","4","1","2014"
"2014-01-05 05:00:00","2014-01-05","1","5","1","2014"
"2014-01-05 06:00:00","2014-01-05","1","5","1","2014"
"2014-01-05 07:00:00","2014-01-05","1","5","1","2014"
"2014-01-05 08:00:00","2014-01-05","1","5","1","2014"
"2014-01-05 09:00:00","2014-01-05","1","5","1","2014"
"2014-01-05 10:00:00","2014-01-05","1","5","1","2014"
"2014-01-05 11:00:00","2014-01-05","1","5","1","2014"
"2014-01-05 12:00:00","2014-01-05","1","5","1","2014"
"2014-01-05 13:00:00","2014-01-05","1","5","1","2014"
"2014-01-06 05:00:00","2014-01-06","1","6","1","2014"
"2014-01-06 07:00:00","2014-01-06","1","6","1","2014"
"2014-01-06 08:00:00","2014-01-06","1","6","1","2014"
"2014-01-06 10:00:00","2014-01-06","1","6","1","2014"
"2014-01-06 11:00:00","2014-01-06","1","6","1","2014"
"2014-01-06 12:00:00","2014-01-06","1","6","1","2014"
"2014-01-07 05:00:00","2014-01-07","1","7","1","2014"
"2014-01-07 06:00:00","2014-01-07","1","7","1","2014"
"2014-01-07 07:00:00","2014-01-07","1","7","1","2014"
"2014-01-07 08:00:00","2014-01-07","1","7","1","2014"
"2014-01-07 09:00:00","2014-01-07","1","7","1","2014"
"2014-01-07 10:00:00","2014-01-07","1","7","1","2014"
"2014-01-07 11:00:00","2014-01-07","1","7","1","2014"
